MSSV!HỌ!TÊN!NGÀY SINH!GIỚI TÍNH
13130002!ĐẶNG THỊ THÚY!AN!1/2/1998!NỮ
13130003!HÀ TRẦN TUẤN!ANH!1/3/1998!NAM
13130004!NGUYỄN HOÀNG!ANH!1/4/1998!NAM
13130005!TRƯƠNG NGUYỄN ĐỨC!ANH!1/5/1998!NAM
13130006!PHẠM VĂN!CẢNH!1/6/1998!NAM
13130007!NGÔ TRƯƠNG!CHI!1/7/1998!NAM
13130008!VŨ NHƯ!CHƯƠNG!1/8/1998!NAM
13130009!NGUYỄN MAI!CÔNG!1/9/1998!NAM
13130010!TRẦN NGỌC!CƯỜNG!1/10/1998!NAM
13130011!CHẾ THANH!DÂN!1/11/1998!NAM
13130012!TRẦN VĂN!ĐĂNG!2/1/1999!NAM
13130013!TRẦN QUỐC!ĐẠO!2/2/1999!NAM
13130014!PHẠM VĂN!ĐẠT!2/3/1999!NAM
13130015!TRẦN ANH!DŨNG!2/4/1999!NAM
13130016!VŨ VĂN!HẢI!2/5/1999!NAM
13130017!TRẦN THỊ THÚY!HẰNG!2/6/1999!NỮ
13130018!TRẦN THỊ!HIỀN!2/7/1999!NỮ
13130019!TRẦN ĐÌNH!HÒA!2/8/1999!NAM
13130020!LÊ THANH!HOÀI!2/9/1999!NAM
13130021!NGUYỄN THÚY!HOÀNG!2/10/1999!NAM
13130022!PHẠM THANH!HOÀNG!2/11/1999!NAM
13130023!TRẦN THỊ!HƯƠNG!2/12/1999!NỮ
13130024!NGÔ ĐỨC!HUYNH!3/4/1998!NAM
13130025!BÀO TRỌNG!KHANG!3/5/1998!NAM
13130026!PHẠM TRỌNG!KHÔI!3/6/1998!NAM
13130027!NGUYỄN GIA!KHƯƠNG!4/6/1998!NAM
13130028!VÕ KIM!LANH!5/6/1998!NAM
13130029!BÙI HOÀNG!LINH!6/6/1998!NAM
13130030!NGUYỄN BÁ NGŨ!LUÂN!7/6/1998!NAM
13130031!LÊ THANH!MINH!8/6/1998!NAM
13130032!NGUYỄN THỊ KIM!NGÂN!9/6/1998!NAM
13130033!LÊ HOÀNG HỮU!NGHỊ!10/6/1998!NAM
13130034!HỒ TẤN!NGHĨA!11/6/1998!NỮ
13130035!NGUYỄN THỊ THẢO!NGUYÊN!12/6/1998!NỮ
13130036!HỒ ĐĂNG!NGUYỆN!13/6/1998!NỮ
13130037!NGUYỄN CHÍ!PHONG!14/6/1998!NỮ
13130038!VÕ THỊ HỒ!QUYÊN!15/6/1998!NỮ
13130039!NGUYỄN VĂN!QUỲNH!15/7/1999!NỮ
13130040!HOÀNG CHI!QUANG!16/7/1999!NỮ
13130041!LÊ ANH!QUANG!17/7/1999!NỮ
13130042!NGUYỄN VĂN!QUÝ!18/7/1999!NAM
13130043!ĐỖ PHƯƠNG!QUÝ!19/7/1999!NAM
13130044!NGUYỄN THỊ TUYẾT!SA!20/7/1999!NAM
13130045!LÊ ANH !SANH!21/7/1999!NAM
13130046!LÊ ANH !SANG!22/7/1999!NAM
13130047!HOÀNG ANH!SANG!23/7/1999!NAM
13130048!NGUYỄN THỊ TRONG!SÁNG!24/7/1999!NAM
13130049!BÙI QUANG!SÁNG!1/10/1998!NAM
13130050!NGUYỄN THÁI!SƠN!2/10/1998!NAM
13130051!LÊ VĂN!SƠN!3/10/1998!NAM
13130052!NGUYỄN VĂN!SƠN!4/10/1998!NAM
13130053!TRẦN THỊ ANH!SON!5/10/1998!NAM
13130054!LÊ ANH !SONG!6/10/1998!NỮ
13130055!TRẦN VIẾT!SONG!7/10/1998!NỮ
13130056!ĐƯỜNG THẲNG SONG!SONG!8/10/1998!NỮ
13130057!NGUYỄN MINH!TÀI!9/10/1998!NỮ
13130058!LÊ CHÍ!TÀI!10/10/1998!NỮ
13130059!CHU GIA!TÀI!11/10/1998!NAM
13130060!THẦN!TÀI!12/10/1998!NAM
13130061!LÊ THỊ PHẤT!TÀI!13/10/1998!NAM
13130062!TRẦN THANH !TÀI!14/10/1998!NAM
13130063!LÊ THANH!TÂN!15/10/1998!NAM
13130064!NGUYỄN VĂN!TÂN!16/10/1998!NAM
13130065!HOA!TÂN!17/10/1998!NAM
13130066!VŨ PHẠM ĐÌNH!THÁI!18/10/1998!NAM
13130067!THỊT HEO!THÁI!19/10/1998!NAM
13130068!PHAN ĐÌNH!THÁI!20/10/1998!NAM
13130069!LÊ THỊ PHÁT!THẮM!21/10/1998!NAM
13130070!XUÂN THU!THẮM!22/10/1998!NỮ
13130071!LÊ ANH !THÔNG!23/10/1998!NỮ
13130072!TRẦN VĂN!QUANG!24/10/1998!NỮ
13130073!TRẦN ANH!DU!25/10/1998!NỮ
13130074!LÊ VĂN!THUẬN!1/7/1997!NỮ
13130075!LÊ BÌNH!THUẬN!2/7/1997!NỮ
13130076!NGUYỄN THỊ ANH!THU!3/7/1997!NỮ
13130077!LÊ NGUYỄN LỆ!THU!4/7/1997!NỮ
13130078!NGUYỄN VĂN!CẢNH!5/7/1997!NỮ
13130079!TRẦN THỊ HỒNG!HẠNH!6/7/1997!NỮ
13130080!TRẦN THỊ!THÚY!7/7/1997!NỮ
13130081!TRƯƠNG THANH!TRÀ!8/7/1997!NAM
13130082!NGUYỄN NGỌC!TRAI!9/7/1997!NAM
13130083!NGUYỄN THỊ QUẾ!TRÂN!10/7/1997!NỮ
13130084!NGUYỄN THỊ BÍCH!TRÂM!11/7/1997!NỮ
13130085!LƯƠNG VĂN!ĐẠT!12/7/1997!NỮ
13130086!ÂU QUANG!TRUNG!13/7/1997!NAM
13130087!BÙI ĐÌNH!HUY!14/7/1997!NAM
13130088!HỒ THỊ MỸ!TRUYỆN!15/7/1997!NỮ
13130089!LÂM PHƯƠNG BÍCH!TUYỀN!16/7/1997!NỮ
